Port/Protocol Combination Counts: 

port,protocol,count
63972,tcp,1
34745,tcp,1
2919,udp,1
12,udp,8
34999,tcp,2
33996,tcp,1
156,icmp,11
51,tcp,13
686,tcp,11
653,tcp,9
646,udp,9
55267,tcp,1
46867,udp,1
464,icmp,8
13975,tcp,1
886,udp,8
24832,icmp,2
34704,udp,1
40082,icmp,1
90,udp,9
62775,udp,1
7765,icmp,1
649,udp,6
49427,tcp,1
459,udp,6
54508,tcp,2
845,icmp,9
6225,icmp,1
286,udp,12
319,icmp,6
45008,icmp,1
17505,udp,1
28850,tcp,1
430,icmp,7
16,udp,7
49384,icmp,1
419,icmp,5
60062,tcp,1
61470,tcp,1
607,tcp,7
58188,tcp,1
31028,tcp,1
858,icmp,12
678,udp,7
44231,tcp,1
716,tcp,9
20566,icmp,2
51683,icmp,1
25545,icmp,1
120,udp,4
955,udp,5
1763,udp,1
63357,udp,1
635,udp,8
60705,udp,1
645,tcp,10
474,tcp,10
346,tcp,5
30612,tcp,1
499,udp,12
503,udp,9
44452,tcp,1
36506,icmp,1
1017,tcp,10
47571,tcp,1
73,icmp,11
5998,udp,1
552,udp,8
5252,tcp,1
47562,tcp,1
497,tcp,14
55421,udp,3
42390,icmp,1
64744,icmp,1
55488,udp,1
16619,icmp,1
171,udp,6
20670,icmp,2
230,udp,10
683,udp,8
10238,udp,1
775,tcp,8
329,icmp,7
51,icmp,16
836,udp,7
8265,udp,1
112,tcp,14
88,icmp,8
517,udp,14
37909,tcp,1
9764,udp,2
4361,tcp,1
29005,tcp,1
9660,tcp,1
22350,udp,1
966,udp,13
27813,udp,1
30375,tcp,1
198,tcp,10
680,udp,13
56121,udp,1
46158,udp,1
58697,tcp,1
366,tcp,9
348,icmp,7
539,udp,6
270,tcp,13
12004,icmp,1
979,udp,10
58959,udp,1
932,tcp,6
576,icmp,5
33568,tcp,1
902,tcp,12
737,tcp,7
5,icmp,10
669,udp,11
35,icmp,9
57514,icmp,1
306,udp,9
62085,icmp,1
60801,icmp,1
48169,udp,1
62726,icmp,1
868,icmp,13
224,tcp,6
706,tcp,8
9567,icmp,1
812,tcp,11
64875,udp,1
8,icmp,14
681,tcp,16
579,tcp,9
865,udp,12
13826,icmp,1
46722,icmp,1
989,tcp,11
50259,tcp,1
751,tcp,7
52059,tcp,1
59883,tcp,1
39582,udp,1
952,tcp,12
