dstport,protocol,tag
62314,6,sv_P8
14577,17,sv_P9
1502,1,sv_P8
23,tcp,sv_P1
26,tcp,sv_P6
2259,17,sv_P9
26,tcp,sv_P6
60753,1,sv_P8
25,tcp,sv_P1
36753,1,sv_P10
20491,17,sv_P10
15905,6,sv_P9
25,tcp,sv_P1
40474,6,sv_P8
26,tcp,sv_P6
44555,17,sv_P10
3389,tcp,sv_P5
25,tcp,sv_P1
56743,6,sv_P10
26075,6,sv_P10
55314,17,sv_P9
20900,6,sv_P8
53074,6,sv_P10
22,tcp,sv_P4
443,tcp,sv_P2
110,tcp,email
36187,6,sv_P9
443,tcp,sv_P2
0,icmp,sv_P5
68,udp,sv_P2
22,tcp,sv_P4
2842,6,sv_P10
0,icmp,sv_P5
28,tcp,sv_P7
443,tcp,sv_P2
31,udp,SV_P3
50370,6,sv_P8
443,tcp,sv_P2
68,udp,sv_P2
68,udp,sv_P2
50082,6,sv_P8
443,tcp,sv_P2
0,icmp,sv_P5
0,icmp,sv_P5
0,icmp,sv_P5
31,udp,SV_P3
2592,17,sv_P9
3389,tcp,sv_P5
15459,6,sv_P8
31,udp,SV_P3
50818,6,sv_P8
23,tcp,sv_P1
3389,tcp,sv_P5
143,tcp,email
35334,6,sv_P10
64206,1,sv_P9
54037,1,sv_P9
25,tcp,sv_P1
110,tcp,email
392,6,sv_P8
23,tcp,sv_P1
110,tcp,email
31,udp,SV_P3
28,tcp,sv_P7
993,tcp,email
38421,6,sv_P8
110,tcp,email
63086,6,sv_P8
29190,17,sv_P8
443,tcp,sv_P2
22,tcp,sv_P4
0,icmp,sv_P5
3389,tcp,sv_P5
23,tcp,sv_P1
31,udp,SV_P3
22,tcp,sv_P4
25,tcp,sv_P1
42125,17,sv_P8
30575,6,sv_P10
68,udp,sv_P2
22,tcp,sv_P4
31,udp,SV_P3
443,tcp,sv_P2
43983,6,sv_P10
42743,1,sv_P10
1584,1,sv_P9
28513,1,sv_P10
45988,1,sv_P9
62660,1,sv_P10
52991,6,sv_P9
35195,6,sv_P10
48815,6,sv_P10
143,tcp,email
0,icmp,sv_P5
3389,tcp,sv_P5
26,tcp,sv_P6
41940,1,sv_P10
44997,17,sv_P9
110,tcp,email
143,tcp,email
25348,1,sv_P8
443,tcp,sv_P2
26101,6,sv_P10
143,tcp,email
61665,17,sv_P9
23,tcp,sv_P1
28,tcp,sv_P7
25,tcp,sv_P1
31,udp,SV_P3
31,udp,SV_P3
22,tcp,sv_P4
35209,17,sv_P9
36925,17,sv_P9
3389,tcp,sv_P5
31068,1,sv_P9
19618,6,sv_P10
23,tcp,sv_P1
31,udp,SV_P3
10756,1,sv_P9
41710,1,sv_P10
1534,17,sv_P8
25,tcp,sv_P1
54046,1,sv_P10
443,tcp,sv_P2
22,tcp,sv_P4
35878,17,sv_P9
50185,17,sv_P8
68,udp,sv_P2
68,udp,sv_P2
3389,tcp,sv_P5
12253,17,sv_P10
31,udp,SV_P3
27722,1,sv_P9
55491,6,sv_P9
9794,6,sv_P8
5474,1,sv_P9
23583,6,sv_P10
40735,1,sv_P8
31,udp,SV_P3
8165,6,sv_P9
10029,1,sv_P8
22300,1,sv_P8
58472,6,sv_P8
28,tcp,sv_P7
18022,1,sv_P10
64902,1,sv_P9
33745,1,sv_P10
443,tcp,sv_P2
42370,6,sv_P10
443,tcp,sv_P2
31,udp,SV_P3
3389,tcp,sv_P5
37813,6,sv_P9
28,tcp,sv_P7
5800,17,sv_P9
53841,17,sv_P9
48307,1,sv_P8
110,tcp,email
25,tcp,sv_P1
68,udp,sv_P2
17853,17,sv_P8
62140,6,sv_P9
110,tcp,email
47711,17,sv_P8
22,tcp,sv_P4
0,icmp,sv_P5
25,tcp,sv_P1
56060,6,sv_P9
8626,17,sv_P9
110,tcp,email
143,tcp,email
3389,tcp,sv_P5
11738,6,sv_P9
60653,1,sv_P9
27955,6,sv_P8
8786,17,sv_P10
22,tcp,sv_P4
35399,1,sv_P10
993,tcp,email
68,udp,sv_P2
3389,tcp,sv_P5
443,tcp,sv_P2
51849,1,sv_P9
18993,1,sv_P8
10844,17,sv_P8
3389,tcp,sv_P5
22,tcp,sv_P4
49668,17,sv_P8
443,tcp,sv_P2
0,icmp,sv_P5
23,tcp,sv_P1
42600,6,sv_P8
143,tcp,email
26,tcp,sv_P6
993,tcp,email
3389,tcp,sv_P5
68,udp,sv_P2
26,tcp,sv_P6
443,tcp,sv_P2
38685,1,sv_P8
23,tcp,sv_P1
26673,17,sv_P8
58777,6,sv_P10
993,tcp,email
22,tcp,sv_P4
37718,1,sv_P10
54253,17,sv_P8
26219,1,sv_P8
443,tcp,sv_P2
50770,6,sv_P10
26,tcp,sv_P6
22,tcp,sv_P4
58884,1,sv_P9
54865,17,sv_P10
443,tcp,sv_P2
48036,6,sv_P8
22,tcp,sv_P4
68,udp,sv_P2
0,icmp,sv_P5
58735,6,sv_P10
48511,17,sv_P10
65515,6,sv_P10
44505,17,sv_P9
110,tcp,email
17934,17,sv_P9
25,tcp,sv_P1
22,tcp,sv_P4
31,udp,SV_P3
45930,1,sv_P9
14663,17,sv_P8
44504,6,sv_P10
68,udp,sv_P2
68,udp,sv_P2
0,icmp,sv_P5
0,icmp,sv_P5
31810,6,sv_P9
63213,6,sv_P10
26,tcp,sv_P6
68,udp,sv_P2
34210,6,sv_P9
26842,1,sv_P9
26,tcp,sv_P6
25,tcp,sv_P1
11256,17,sv_P10
6318,1,sv_P8
443,tcp,sv_P2
34570,17,sv_P8
22,tcp,sv_P4
993,tcp,email
22,tcp,sv_P4
3389,tcp,sv_P5
1036,17,sv_P8
25,tcp,sv_P1
10885,1,sv_P9
68,udp,sv_P2
22,tcp,sv_P4
40298,17,sv_P8
443,tcp,sv_P2
43227,1,sv_P8
0,icmp,sv_P5
443,tcp,sv_P2
38081,1,sv_P8
9170,1,sv_P9
34734,6,sv_P10
443,tcp,sv_P2
35138,17,sv_P8
15982,1,sv_P8
68,udp,sv_P2
23,tcp,sv_P1
41361,6,sv_P8
0,icmp,sv_P5
23,tcp,sv_P1
50921,6,sv_P10
28,tcp,sv_P7
4798,17,sv_P10
38657,1,sv_P9
45278,6,sv_P9
41731,17,sv_P10
23,tcp,sv_P1
26655,17,sv_P10
3389,tcp,sv_P5
30170,6,sv_P10
28071,1,sv_P8
23,tcp,sv_P1
993,tcp,email
3389,tcp,sv_P5
23936,17,sv_P10
993,tcp,email
31796,17,sv_P8
